,0
0,273131.13108467014
1,299273.4123735413
2,382825.91586930456
3,233873.28570624292
4,336671.46314377635
5,366782.4471767768
6,277345.6105163366
7,246052.59029716402
8,356469.6723369762
9,234984.88163207323
10,193265.32970160246
11,288216.3481285438
12,265960.17289704236
13,270393.04733290675
14,396801.44565775094
15,340536.56229780614
16,270699.28919149487
17,338121.2395437419
18,361379.70081067533
19,335591.30606561154
20,224371.3347706616
21,180873.369072257
22,216873.32823220937
23,324570.2927069917
24,182798.52284461708
25,264320.509650214
26,366996.8319254696
27,344085.2897694841
28,323257.6327872962
29,260087.47684974672
30,285674.06435097306
31,355470.3798883796
32,313361.511427927
33,309720.9284827396
34,369109.1354811415
35,234114.75578803866
36,298036.51304799615
37,420737.7208946571
38,316212.6597053915
39,287422.28217416105
40,325716.816901876
41,283858.0938621521
42,229901.8610916093
43,235010.25867734253
44,279352.5176453024
45,407919.0694656268
46,359467.6950886786
47,272703.95519117115
48,411405.18143402634
49,430885.17246315035
50,279078.8766519472
51,392765.9346522823
52,317997.68029099406
53,311187.58211378456
54,288593.21434785874
55,158452.36617138237
56,260812.87549530118
57,407136.474778752
58,343750.40329259186
59,393032.80511399807
60,282695.52002212557
61,214822.644632712
62,251339.98986090868
63,209698.1352320537
64,335040.7059017628
65,298134.0282402203
66,282958.1876066014
67,492497.77755784837
68,278100.07253059896
69,328832.4963640437
70,448084.74805636855
71,251689.59540414214
72,234696.9358122453
73,373732.00544296205
74,410852.5977084458
75,276055.32773317245
76,376079.55341193976
77,313165.72632780223
78,319559.7550979227
79,400234.673798205
80,286333.62633788586
81,384160.70557362883
82,304236.1060041562
83,225896.20553263425
84,376664.35313472745
85,361491.43505770416
86,359956.3181409687
87,298278.2986042231
88,294321.53081283567
89,543041.9678701565
90,249182.32647053004
91,338478.5370039403
92,210377.91566907614
93,350602.2126456365
94,381122.9096350387
95,223843.41608980595
96,318686.013628912
97,296391.679516308
98,370073.1423792094
99,246135.5423020497
100,321991.4442716688
101,269962.24913260044
102,324183.61809612066
103,177605.77046612502
104,261845.1969702378
105,330736.01907835156
106,330592.8105629176
107,272969.9485878542
108,257837.3468198061
109,343698.2299014389
110,225956.14402554036
111,273713.5841952592
112,276943.3868683845
113,255103.48187240958
114,325193.2235133693
115,202647.03033425362
116,391772.12364318967
117,379579.88421933056
118,312290.3818524152
119,372793.7523163408
120,219972.17970144004
121,436544.88293361367
122,273228.66067530663
123,332156.1333339587
124,349710.3516179949
125,236543.18797356487
126,270915.3487859055
127,383480.3457932025
128,329243.7289200157
129,367930.2008034632
130,339269.39525875
131,177875.70013917238
132,298933.6936197683
133,224219.98441158384
134,365223.49652275594
135,282849.48819265363
136,318703.5645715535
137,339157.4180286095
138,219031.47398095875
139,398353.55485124735
140,336502.9943668723
141,394386.0104583502
142,228708.60869764388
143,222249.7506480977
144,315906.2327593386
145,375224.69621227833
146,399247.58134026825
147,255148.1602995813
148,336224.3629807591
149,212754.85256422908
150,377422.767415309
151,371356.5666836932
152,266330.7970569998
153,426079.48676225246
154,192564.93839779496
155,281819.5705777809
156,362678.588162294
157,372539.4814279795
158,324902.3569801658
159,376544.924668625
160,156407.5531905815
161,428510.4592697695
162,368454.3979893401
163,247795.7028301269
164,238288.05024985076
165,331650.9687214717
166,340709.57700969576
167,340724.0359571591
168,288573.106169799
169,379280.56854575424
170,367667.66235547065
171,312103.68961660116
172,226244.61807236224
173,368535.85561589745
174,315309.8646003351
175,333660.84969743044
176,358065.84779794666
177,268202.63009515253
178,233106.77090725303
179,346133.87088059186
180,183487.02582039236
181,259141.88265614957
182,232509.77419117987
183,415418.203209129
184,378017.94147198054
185,315615.2607016012
186,341435.88774793595
187,262746.0192017347
188,288956.54361056536
189,396238.12616323977
190,334813.36334463506
191,198562.17081135063
192,186949.66035292894
193,302040.9059689313
194,323589.1601444185
195,343112.23274091183
196,337529.97937078925
197,370033.9401088908
198,206867.62745529562
199,348412.3356328279
200,268431.96503836813
201,280772.60224308074
202,251131.6692437008
203,296441.6173950255
204,340172.0552256912
205,358083.2211086586
206,298523.0174730614
207,370870.4287276164
208,371233.7973180413
209,183460.52537323534
210,285416.5950438812
211,321528.0304206967
212,324346.60287958535
213,313390.835901548
214,368364.4189363524
215,418385.4084883809
216,336556.4171220049
217,479880.1337383211
218,324453.0450145155
219,436651.641471076
220,292355.5257384017
221,342552.61986442504
222,361100.0512334838
223,224183.91134978234
224,272095.0443695247
225,422921.29580183176
226,182053.96797406077
227,277602.3974476859
228,330513.38261594623
229,309962.13525472133
230,228445.62970628886
231,456776.90595211386
232,416942.3215802073
