,0
0,284258.2640657138
1,300267.2755917504
2,406937.77968984534
3,234213.89615357312
4,328742.3255855969
5,381702.8147216555
6,291964.4442877529
7,229535.79920145954
8,333451.7389959927
9,241110.1710427679
10,191828.92924630624
11,284194.3486177441
12,292651.99383285316
13,312546.3497081196
14,401134.94459448184
15,314512.8504073781
16,283264.7672314317
17,338537.44921051565
18,370810.8785399832
19,328959.1999688918
20,239294.2230098093
21,207953.37835316968
22,227833.71424089474
23,324235.3441337265
24,184496.0896501765
25,274395.7171005104
26,350863.2113151426
27,355972.2465222774
28,339575.3007499118
29,258427.70192298162
30,284722.52180756844
31,350562.9693452034
32,305777.862424866
33,315974.20682015613
34,384217.16267783707
35,205568.1092161669
36,312477.3047775659
37,379182.46942960966
38,319371.1601847669
39,307198.1415953133
40,331238.5755695398
41,287968.7061631661
42,244247.22004808002
43,263958.6318792553
44,294324.5095022428
45,406604.1308365427
46,328171.4192283141
47,280941.73305674
48,409584.7179997787
49,421835.86932669114
50,279847.06580108975
51,403580.4301353317
52,326380.58736549626
53,302141.60929087095
54,313870.16305059195
55,158788.63936815868
56,262976.9470627062
57,385795.14845082455
58,330707.7893487938
59,391292.95157305186
60,308616.3603504072
61,229517.51762577108
62,243815.11569019695
63,198101.29452637566
64,348624.82307735854
65,279820.39921118564
66,280353.0396849151
67,455874.2900406164
68,269701.59829649504
69,334634.0516731642
70,429820.27398467774
71,259401.38461928364
72,248920.90459371437
73,383735.7675994372
74,411361.4697859765
75,301229.4070857464
76,376716.4158714053
77,322562.5053094113
78,315800.0091343842
79,407260.99418790697
80,283232.9572095522
81,350578.98488045065
82,290504.78922216734
83,258600.65938937245
84,369614.49672639347
85,386066.9725154589
86,356322.1868119148
87,307373.0611486624
88,290890.5187433558
89,496211.0001037101
90,287902.42016964266
91,317652.40135614603
92,220944.2128467344
93,323581.2260478301
94,416559.46605407656
95,230569.3285495936
96,311515.3407390254
97,298405.31982440536
98,363533.97726215346
99,239012.14982436848
100,354959.2586627155
101,299997.58365450153
102,331856.1936814745
103,194208.67763180408
104,303111.55141155614
105,363030.1062546299
106,325188.7568969988
107,258900.72283639302
108,238547.62824227204
109,363057.18255423976
110,233679.51968839072
111,315717.2683833825
112,246849.8740749362
113,263804.7469525917
114,343846.5462007409
115,214009.50224987735
116,400833.2925344858
117,339715.36959600204
118,319579.70915050816
119,391799.50427336607
120,221316.089082014
121,448538.9957781419
122,274960.1231639824
123,341950.06622027734
124,319652.32837563404
125,238477.33868850893
126,273649.42395504785
127,389215.0408958057
128,291457.1499676855
129,385310.6393028392
130,376106.4319895596
131,194045.48313671132
132,282083.1217846086
133,252496.14428215782
134,343404.6042002012
135,304618.35205093614
136,344705.89603178593
137,335831.60388121346
138,243781.74043499018
139,381004.7131999627
140,342997.51788820757
141,384441.19570130674
142,243093.79992442153
143,222893.64279941088
144,314512.03994257643
145,393308.8067224814
146,388492.74938273546
147,219938.8722365098
148,311708.44754052383
149,242569.00721617593
150,390186.3336664805
151,373035.5047571823
152,265809.98822212964
153,390708.39855088684
154,231292.48118869867
155,278168.5209685472
156,366960.2930599018
157,385937.48500157625
158,330723.9424352373
159,375928.09874215117
160,162524.27407741256
161,404593.80152176233
162,361048.2023139804
163,219648.38202971025
164,263268.1977794975
165,319449.3507199666
166,354349.2449901557
167,343382.7035467598
168,278438.5117630627
169,364783.67823758424
170,357392.8922281041
171,309865.19490947394
172,238850.14092194763
173,366675.6375558245
174,319508.92110426613
175,288551.6184182918
176,344579.41368327546
177,276428.4604060976
178,234923.89197778882
179,355555.6152499486
180,209204.4804283458
181,282884.35300547205
182,256821.54454665753
183,269220.1335630504
184,375608.32614535216
185,285502.0656139141
186,345532.8339482533
187,271810.0696849095
188,268234.4451404008
189,406657.150873918
190,324913.05724040733
191,180637.04353219914
192,202131.37360351847
193,294857.35835320456
194,309392.9133061433
195,293426.56486291054
196,354246.0140556502
197,341840.3340412726
198,222959.90500600412
199,319144.7576470116
200,250106.2265584542
201,295095.5294747124
202,259109.35892719115
203,332090.1129530251
204,348024.52496451355
205,364415.5095754536
206,315320.07738323667
207,373661.327930782
208,375931.89143282623
209,192830.15198623718
210,280256.9122347456
211,344338.4500911619
212,303829.0901218353
213,333874.845250523
214,347047.23347708036
215,410039.79530707776
216,331784.8734999144
217,477261.68528172374
218,326841.65891609516
219,455487.9932562107
220,299688.2302255146
221,344883.49699187034
222,383775.3259706642
223,196763.19852262575
224,264437.61754711653
225,424506.944275268
226,206871.0965419825
227,307000.2853338454
228,335996.68588991964
229,302181.26482091274
230,244970.216721947
231,437987.1762417544
232,443366.7075005954
233,223334.38574567065
234,316203.99093778396
