,0
0,288887.53593560157
1,279181.48897162377
2,380105.33350699244
3,199273.32928931713
4,352859.3727909297
5,412217.5540320352
6,265261.37447053345
7,203102.2672130078
8,342040.6333859235
9,222637.2068289578
10,177053.87277419417
11,310106.31184861064
12,290903.17557620705
13,289340.3563391641
14,406610.3007945299
15,331579.0309857234
16,297968.9271625966
17,349301.3166753173
18,368024.32911717595
19,326746.97313019336
20,225331.9668176353
21,180158.08421473057
22,198879.83341822625
23,356068.2336342886
24,144252.15705300868
25,271164.44596267643
26,376442.84403051285
27,352299.41417054384
28,278447.4914326325
29,252075.91105313002
30,293421.1985116765
31,335186.30244212894
32,340525.58108395786
33,300404.808669661
34,353933.3944891289
35,232489.20356618465
36,272239.9099340647
37,375451.0116440207
38,311327.1563508093
39,300102.6353229374
40,337459.904108198
41,283859.6438974455
42,228545.94519217312
43,249016.80000154377
44,273692.3567878455
45,435413.71704510896
46,390758.4366499752
47,249568.62448277176
48,400929.9403175056
49,472702.3145238802
50,248769.47628289164
51,372669.12644598185
52,319138.49599198997
53,339268.65170280484
54,323138.3127811134
55,151200.90346028656
56,240175.22907094806
57,411496.6836016491
58,311796.30321410747
59,395725.3250467032
60,292683.58760805277
61,200262.5410762161
62,247755.40294437855
63,185557.3226719588
64,323996.3664852381
65,324460.362625058
66,268947.14820254
67,512437.77118691057
68,288281.9949692741
69,355721.39228955656
70,439774.40520562977
71,239178.2497314304
72,199319.0010399297
73,394113.00370236934
74,414579.4208863437
75,313305.5650535196
76,371844.1950576797
77,317638.8581496775
78,298682.51118318585
79,414017.8002903283
80,267532.1199770972
81,384078.78349594475
82,329675.9615944445
83,251207.51018822045
84,386317.56441645324
85,402322.27554557024
86,353006.9114804998
87,302896.3622357294
88,312518.91550292226
89,547326.5389418572
90,275696.8303126097
91,329695.73879689723
92,187700.61879478843
93,331215.179683578
94,408240.43561995623
95,201940.5045833677
96,309344.17503276316
97,317229.33751872927
98,358681.91897521465
99,249334.13122579604
100,337805.88059711753
101,287984.7996621728
102,309512.31503533275
103,182866.47402944713
104,303306.16974092723
105,363367.84253632126
106,355773.3211425111
107,178955.7811249137
108,291125.1308341652
109,359989.10392212274
110,197344.3388659507
111,285105.48490425944
112,175997.92016904504
113,294818.0472857803
114,366456.1649769008
115,211365.29005555809
116,400911.94060331583
117,367363.7139026627
118,315321.8196644828
119,375924.83430164604
120,232417.460927169
121,451640.4025444627
122,264373.4375770494
123,321647.67716388253
124,369259.9705642462
125,208193.9795105025
