,coeff,gen_firsts_fitnesses,gen_firsts_predictions,hof_fitnesses,hof_predictions,hof_shape_means,hof_shape_vars,number_of_uniques_means,number_of_uniques_vars
0,0.657838378687,3238.44601983,3692.76857831,806.780554604,3301.86591795,158.4,74.24,99.7,18.61
1,0.945473223536,3899.27780137,3866.42181637,1114.64130316,2921.57062349,154.4,167.04,99.9,21.29
2,0.928167678162,4300.23849821,3965.82291384,1732.95893429,3247.44181255,160.8,108.16,101.8,37.56
3,0.625058588329,3335.35072366,3269.16917095,992.435884048,2638.7083418,156.0,41.6,102.1,22.29
4,0.859051893855,3893.48929907,4523.02742509,678.427260627,2314.29255151,158.4,48.64,100.4,29.04
5,0.926500317865,2473.147506,2450.65409513,935.998249755,2295.41437026,161.6,87.04,102.2,33.76
6,0.854312054167,4183.47629504,3833.33548054,1003.61555939,2710.67613074,162.4,90.24,102.0,31.0
7,0.818848775006,3092.26783284,3541.18029099,616.63423522,2541.02833446,159.2,120.96,100.4,14.64
8,0.79797552855,2807.43203676,4001.60195435,447.723093988,2276.47475238,156.8,92.16,99.9,18.89
9,0.868971682086,5136.45302499,3845.24701186,595.16116762,2215.74933356,159.2,31.36,100.8,9.96
10,0.325615908206,2661.95613577,3466.4924511,1288.76466378,3380.40927918,161.6,125.44,102.1,25.69
11,-0.132605049558,4243.89004213,2869.88479171,811.694846558,2622.04944371,156.0,67.2,99.4,24.04
12,0.73730857031,5265.43690037,4259.9796263,1195.27494217,2610.45808463,164.0,16.0,103.3,9.81
13,0.814718822801,2974.90454061,3859.45323222,859.546769744,2462.22613114,162.4,51.84,103.2,29.76
14,0.939419246832,3351.84020671,3534.18006733,687.235385661,2769.54413008,163.2,40.96,102.4,13.64
15,0.722247333876,2996.72038017,3124.33604608,472.803908233,2656.38429324,155.2,92.16,98.3,27.41
16,-0.590040476583,2130.02104707,2960.5936103,823.587927193,3405.29928454,160.0,166.4,100.4,40.24
17,0.746870521949,1769.7037615,3813.22864664,498.510964225,1932.75474569,163.2,53.76,101.0,16.8
18,0.726235619338,3081.16636595,4362.16242919,1427.04764186,2857.51948237,161.6,35.84,101.6,18.04
19,0.896868417572,2461.66627436,3907.86225192,739.480348231,2700.98549834,162.4,51.84,101.6,21.44
20,0.33074168399,2699.05704655,3593.45671417,694.913378592,2602.75664008,164.8,40.96,103.6,18.04
21,0.74932543801,3719.99704384,4760.31396793,1342.58853284,3800.81123357,158.4,35.84,100.0,33.2
22,0.267320218404,4066.35716644,3889.57095439,910.068762894,2967.81229078,166.4,35.84,102.0,32.4
23,0.343314537175,3412.4469236,2142.86005598,1085.58568856,2406.6110265,160.0,89.6,102.4,24.64
24,0.804823854458,5083.80647417,4358.51867838,1893.49223062,2756.65755407,161.6,112.64,102.0,32.8
25,-0.149373517545,3908.70878639,4686.94378754,1059.96561105,2266.3786182,161.6,23.04,101.2,14.16
26,0.81964043362,3643.22180874,3094.56127984,913.259545184,2348.25619991,159.2,146.56,98.9,9.09
27,0.800190345939,2611.20158484,3764.41619195,713.813080879,2468.24728507,159.2,18.56,99.1,19.09
28,0.438121589535,2188.4674338,1919.59120847,565.449701209,2496.16370108,162.4,154.24,102.1,25.29
29,-0.468380419357,3184.97115717,5086.36598521,435.395492669,4122.10864211,157.6,39.04,100.7,19.41
30,0.605397392112,2957.15247457,2991.25588697,1022.06323944,2966.59836916,158.4,87.04,101.2,17.36
31,0.170883923585,4127.8112199,3689.66530006,1054.67535083,2857.26524549,160.8,44.16,102.0,4.4
32,0.186895111228,3719.87690048,3745.57159119,1066.26867259,2609.34916478,160.0,76.8,101.6,30.24
33,0.668960979633,3993.91219054,2957.73753291,1165.66015392,2487.92091755,159.2,69.76,100.7,13.41
34,0.596940963433,1103.15679712,3143.38491101,396.290586571,2856.83940219,154.4,51.84,99.4,10.64
35,-0.268798657025,4556.42486788,5251.61600682,1298.1729488,3921.52377077,160.0,64.0,101.5,33.25
36,0.844234092166,3464.71183263,3005.96040341,659.763019147,2374.11968234,160.0,64.0,101.9,34.29
37,-0.0254877217856,3731.00639027,3591.27150176,1152.03495591,2875.96477799,168.8,18.56,105.3,19.61
38,0.798021603537,4045.64293859,3324.0521183,1944.2401255,2400.55908472,160.0,102.4,101.3,28.81
39,0.63474026001,1882.73856008,3368.33193776,411.945726205,2118.79253329,166.4,138.24,105.3,18.81
40,0.252338086625,2160.37519957,4375.87541002,601.426165922,4139.34642498,153.6,74.24,98.8,40.96
41,0.379756589129,4603.15314323,3236.56351761,1890.95206542,3012.44023887,162.4,39.04,103.4,20.04
42,-0.23353632869,3146.47061465,3129.01166527,826.777273727,3688.41764017,154.4,103.04,99.0,25.8
43,0.798166525888,3021.41040557,3956.49525933,681.804199305,2738.74893723,157.6,26.24,102.3,56.01
44,0.583341133676,5174.22517951,5806.45741136,835.650652846,3205.93289175,160.0,38.4,100.4,11.84
45,0.154404456528,1937.84236488,4929.53171064,592.622018336,3517.10271379,149.6,115.84,97.7,31.61
46,-0.395321404997,2702.90108673,3618.71957485,838.251327771,4575.01516079,157.6,115.84,100.7,44.81
47,0.652143819983,4096.72668547,4841.86501757,710.672849443,3519.82176494,159.2,69.76,101.2,16.36
48,0.648454016699,3050.40287761,3459.46823924,508.548239052,1486.45329093,163.2,79.36,103.8,19.16
49,0.844478218149,2805.03246146,3977.87256668,768.783950452,1793.17055721,162.4,64.64,102.0,31.0
50,0.573815594672,3771.37279109,3019.31969184,630.951775154,2385.97342428,161.6,87.04,102.9,40.49
51,0.849365937886,1357.66442198,3322.58332548,491.082804117,3129.24272918,162.4,39.04,105.8,23.16
52,0.424633579454,1961.80800893,3251.7562749,578.330130676,2626.60465233,161.6,74.24,102.6,17.84
53,0.358746874567,2562.92485563,4353.78617399,771.02638899,2772.52571974,161.6,61.44,99.8,22.36
54,0.965026129498,1898.58789287,3435.69744115,538.999950969,2853.8308058,166.4,35.84,102.4,14.04
55,0.189483210307,2813.81694856,3108.35158247,1050.54167172,3245.86726514,160.0,76.8,100.3,19.21
56,0.663691861789,3023.77426321,3004.77397731,549.205380875,2024.42651501,159.2,95.36,99.5,23.45
57,0.867982092938,2638.05526288,2746.83255583,973.586580201,2666.14761368,161.6,35.84,101.9,9.89
58,0.801767316363,4816.92260578,5507.7342916,848.267297874,2670.78789167,161.6,35.84,100.9,27.69
59,-0.0908737061121,3440.12111267,4218.21114682,1139.80692596,2708.65472368,166.4,61.44,103.2,17.56
60,0.0790209456775,1777.27914008,3207.32403063,791.084980476,3246.13151199,157.6,51.84,99.7,26.61
61,0.48092987152,3954.02027966,4094.08359804,1064.62891179,3395.1533392,155.2,66.56,99.9,15.69
