,coeff,gen_firsts_fitnesses,gen_firsts_predictions,hof_fitnesses,hof_predictions,hof_shape_means,hof_shape_vars,number_of_uniques_means,number_of_uniques_vars
0,0,10419.0253512,2635.41658151,5421.51239045,2382.9737829,202.0,196.0,129.2,36.56
1,0,11428.8337493,3347.34092603,5614.55904186,3457.92541435,211.0,169.0,133.2,34.76
2,0,9378.34041173,4111.12291352,6153.72058079,3736.76340013,197.0,121.0,124.7,12.61
3,0,8976.58652116,3953.72733525,5733.60793113,3196.16209968,200.0,60.0,126.5,26.65
4,0,9569.26093809,3191.0317428,6096.82894639,2873.70814769,199.0,109.0,126.0,6.6
5,0,8121.07877862,2809.11557313,5916.90794174,2744.53072694,207.0,101.0,127.8,22.16
6,0,9072.20372491,3256.04113859,6213.43860162,3130.22911508,201.0,149.0,127.5,21.65
7,0,9649.55737638,4497.48391757,5846.79790118,3484.88900274,195.0,145.0,125.4,29.24
8,0,10554.8510467,3888.30654093,6279.89748993,4126.61982819,204.0,104.0,128.7,23.01
9,0,12281.9443013,3479.66459262,6374.57136962,2648.66033355,204.0,84.0,127.6,38.04
10,0,9048.53753028,3610.68795322,5721.30236035,3996.88176244,205.0,45.0,129.3,8.81
11,0,11010.3332298,3133.76087577,5995.48533414,2716.52759541,205.0,85.0,129.0,19.6
12,0,9834.50378187,3136.8070836,5501.70860617,3277.36723163,201.0,69.0,129.2,20.16
13,0,11158.0521796,3804.68349345,6929.35241477,2810.82803027,206.0,204.0,128.3,46.01
14,0,9821.07004324,2643.41891341,6009.53854505,2670.51595543,204.0,124.0,127.4,53.24
15,0,8814.02134312,3529.65105859,5035.66736031,3060.74875833,203.0,141.0,126.1,13.29
16,0,9289.85255401,4478.26496412,5238.73067769,4245.8392731,200.0,80.0,126.9,31.69
17,0,9047.08456336,3933.27258032,6056.44277317,3856.86244186,218.0,256.0,134.5,87.05
18,0,10316.7399045,3256.62126085,7037.33627586,2878.29490191,199.0,69.0,129.9,44.09
19,0,10019.3579608,3429.13060559,6120.42591647,3348.80799927,202.0,136.0,125.7,29.01
20,0,9884.47562223,3023.87201538,5363.52146723,3643.8433598,202.0,36.0,130.3,27.61
21,0,8625.79701735,3066.76677916,5344.97077039,2765.65677322,199.0,49.0,128.6,20.84
22,0,9558.14699508,2710.21518491,6296.48393039,2784.90598795,207.0,121.0,129.7,17.81
23,0,9178.20545313,3977.97381416,5444.08042621,3283.93681054,200.0,180.0,128.6,78.84
24,0,9982.34193253,4304.37400555,6380.93373612,3551.351851,199.0,109.0,125.9,20.49
25,0,9194.68301336,4834.28498607,6209.39648019,4206.91164187,204.0,104.0,130.4,91.64
26,0,9863.93894044,2825.169845,6634.32883452,2147.3136237,204.0,64.0,126.6,16.44
27,0,9100.52492543,3283.33506236,6075.24951702,3014.3767341,196.0,104.0,124.5,45.05
28,0,8559.63730854,3305.01609047,6165.87014159,3470.85766978,203.0,41.0,126.7,14.41
29,0,9745.1086083,3672.14912171,5882.0350724,3997.67098967,207.0,181.0,132.3,42.81
30,0,11347.5376716,3246.49490528,6429.54461776,3508.60643527,203.0,81.0,129.7,9.61
31,0,8467.90812668,3498.62482068,4994.82844096,3219.85678244,201.0,149.0,129.7,66.61
32,0,9214.97272685,3820.27442437,6413.66032516,2804.16400905,203.0,61.0,126.7,28.61
33,0,8750.77457461,3506.9487877,4984.98563993,2875.19938761,208.0,236.0,129.7,21.81
34,0,9220.36000885,4093.4180216,5417.50026037,3650.74849872,195.0,65.0,126.4,24.64
35,0,10074.349913,3573.01943047,6426.58764168,3220.29096026,203.0,201.0,129.5,24.05
36,0,9591.98637066,2637.09645657,6074.20400851,2578.81086091,203.0,81.0,128.3,21.01
37,0,10871.2324712,4395.09016914,5118.76683558,2750.25577491,203.0,81.0,127.6,52.24
38,0,9606.89983901,3485.08518185,6429.09655694,2640.86043987,197.0,121.0,125.3,61.41
39,0,10203.7772608,3968.45503298,5930.98885487,4400.94563762,205.0,105.0,131.0,22.0
40,0,10264.3590779,3386.69759531,5528.44663316,2629.94447624,200.0,100.0,127.1,39.29
41,0,9187.01814411,3027.58216399,5489.6845513,3361.55689805,201.0,209.0,126.5,22.85
42,0,10891.3982569,3780.87172661,6203.63848868,3894.25121386,200.0,80.0,128.5,33.45
43,0,9823.05395702,2190.69716011,6234.26804125,2360.17196019,204.0,104.0,128.7,20.61
44,0,9256.73145613,2928.57035325,6056.59649107,2281.02610671,202.0,116.0,128.1,9.69
45,0,10145.0285943,2617.41401343,5813.82942579,2411.0545992,207.0,81.0,131.7,40.81
46,0,8603.74257662,3200.92462187,5498.51264533,3633.75186992,207.0,141.0,129.5,30.65
47,0,12493.9780951,2810.66522779,5615.4035185,2792.96104055,206.0,64.0,131.1,43.29
48,0,10029.3662053,2953.64330564,6633.95028502,3076.45265905,206.0,84.0,127.3,27.01
49,0,9799.77192878,3129.48486294,5700.79188869,2496.92327074,201.0,129.0,130.0,31.6
50,0,10253.3125162,2972.99542382,6574.86622302,2894.42129271,201.0,169.0,127.6,13.84
51,0,9175.71489919,5155.53905248,4895.04355423,5099.90652076,204.0,124.0,128.4,14.24
52,0,10870.1806414,4033.71922349,5977.90775245,2902.28736141,197.0,201.0,127.6,45.84
53,0,9623.889858,2954.58715511,6051.93696083,3078.30609584,196.0,64.0,123.4,17.64
54,0,10389.2652605,2798.88043531,6510.77368257,2654.90917376,200.0,120.0,125.7,17.61
55,0,9589.45682464,2733.35467036,6660.71976346,3221.7163365,203.0,61.0,126.5,16.05
56,0,8237.25150366,2931.1790635,5437.43137024,3733.3741811,200.0,200.0,129.5,41.85
57,0,9901.89814356,2789.25223269,7179.62034694,2873.56468193,208.0,56.0,130.5,19.65
58,0,12101.1879475,4950.01849963,6199.0168101,3530.69775201,202.0,96.0,127.1,9.69
59,0,8509.38442122,3759.50398229,5521.7270637,2810.25211313,205.0,105.0,130.8,25.16
60,0,9499.54939368,3098.23480961,5023.21933317,4428.4732302,207.0,181.0,129.8,27.96
61,0,9125.6410504,3497.48698794,6017.31673428,3497.82093716,203.0,161.0,127.2,46.16
62,0,10704.5968578,3541.4098775,6311.10597679,2955.5135734,203.0,81.0,127.5,26.25
